Number,File_name,NOA,NOAC,Edges,Diameter,CW,DeltaSJX,CNC,dC_avg,dC_max,Separability,Sequentiality,Depth,CH,CFC,CYC,TS,FI,FO,F_in,F_out,F_(I+O),PL,PV,PD, DFC,IC,OC,Ma,Mb,Ms,Me,output redundancy,output lost,input missing,nonportable,partially_portable
1,AccountOpeningProcess,10,14,12,11,19,0.091,1,3,3,0.6,0.5,3,0,14,0,0,1,3,14,9,23,26,89.692,2.875,1,1,1,0.912698413,0.8,1,0.977777778,0,0,0,0,0
2,AdapterPolicyEngine,5,8,4,5,10,0.2,0.8,0,0,1,1,2,0,5,0,0,1,1,4,4,8,10,28.435,2,1,1,1,0.976190476,0.741935484,1,0.79390681,0,0,0,1,0
3,AddUserToApplication,6,9,8,7,13,0.143,1,3,3,0.667,0.25,3,0,8,0,0,1,2,6,5,11,10,36.189,2.75,1,1,1,0.962962963,0.875,1,0.986111111,0,0,0,0,0
4,AICApplication,6,9,13,12,19,0.098,1.083,2,2,0.2,0.385,5,0,10,0,0,1,0,4,3,7,16,42,3.5,0.5,0.667,0.667,0.984126984,0.909090909,1,0.954545455,1,0,1,1,0
5,ASTROBookBank,22,33,33,19,45,0.038,1.1,3,3,0.036,0.394,9,0.406,227,0,0,1,6,19,11,30,42.809,159.909,4.091,0.727,1,0.727,0.98989899,0.904761905,1,0.933862434,1,0,0,1,0
6,ASTROBookCart_exe,31,48,51,34,68,0.026,1.133,3,3,0.116,0.373,9,0.5,595,0.333,0,1,9,31,25,56,88.711,330.22,5.895,0.895,1,0.895,0.977777778,0.861111111,1,0.895061728,1,1,0,1,0
7,ASTROBookSearch_exe,17,28,28,19,39,0.047,1.12,3,3,0.087,0.357,9,0.459,384,0.52,0,1,5,20,14,34,51.02,180,5.667,0.917,1,0.917,0.929292929,0.810810811,1,0.927927928,1,0,0,1,0
8,ASTROBookStore,181,222,222,103,292,0.005,1.072,3.273,5,0.034,0.703,18,0,4629052,0.831,0,1,44,166,155,321,441.387,2247.822,6.782,0.901,1,0.901,0.990740741,0.9375,1,0.96875,1,1,1,1,0
9,AutoClaimsAdjudicationProcess,12,20,17,14,25,0.093,1.214,6,6,0,0.412,3,0,72,0,5,1,1,11,9,18,24.406,86.37,3.857,1,1,1,1,0.952380952,1,0.957671958,0,1,0,1,0
10,behAdjusterComplete,4,7,3,4,8,0.25,0.75,0,0,1,1,2,0,4,0,0,1,1,3,4,6,10,23.265,1.5,0.75,1,1,1,0.9375,1,0.944444444,1,0,0,1,0
11,ClaimsProcess,31,58,36,25,68,0.03,1.029,3,3,0.091,0.694,8,0,87,0,0,1,5,26,21,44,37.974,266.432,6.6,0.7,1,0.875,0.940972222,0.95483871,0.828282828,0.98781362,1,1,0,0,1
12,Component0,13,13,12,13,20,0.077,0.923,0,0,1,1,1,0,13,0,0,1,5,11,11,22,43.02,85.11,0.917,0.833,0.909,0.909,0.918981481,0.87037037,0.868055556,0.981481481,1,0,1,0,1
13,CreateApplication,11,13,10,11,18,0.091,0.909,0,0,1,1,2,0,11,0,0,1,4,10,10,20,33.219,76.107,1,0.7,1,0.7,0.833333333,0.863945578,0.847222222,0.982615268,1,0,0,0,1
14,DeployApplicationToDev,5,7,4,5,9,0.2,0.8,0,0,1,1,2,0,5,0,0,1,1,4,4,8,8,23.219,1,1,1,1,0.911012783,0.890562249,0.777777778,0.979808121,0,0,0,0,1
15,DeployApplicationToLive,5,7,4,5,9,0.2,0.8,0,0,1,1,2,0,5,0,0,1,1,4,4,8,8,23.219,1,1,1,1,0.991452991,0.8,1,0.888888889,0,0,0,1,0
16,EntityComponentInternalCdcNotifyOrch,13,22,18,17,31,0.066,1.059,0,0,0.2,0.778,6,0,63,0,0,1,4,14,9,23,33.284,114.719,3.833,1,1,1,0.977777778,0.857142857,1,0.928571429,0,0,0,1,0
