proj,algo,exp,iter,F1,fpr,fnr,recall,tnr,precision,auc,G,accuracy,Gmean,balance
f10,ga,0,1,0.6250000000000001,0.2857142857142857,0.4444444444444444,0.5555555555555556,0.7142857142857143,0.7142857142857143,0.6349206349206349,0.629940788348712,0.625,0.629940788348712,0.6263935779066724
f10,ibea,0,1,0.9473684210526316,0.14285714285714285,0.0,1.0,0.8571428571428571,0.9,0.9285714285714286,0.9258200997725514,0.9375,0.9486832980505138,0.8989847455447789
f10,nsga2,0,1,0.9473684210526316,0.14285714285714285,0.0,1.0,0.8571428571428571,0.9,0.9285714285714286,0.9258200997725514,0.9375,0.9486832980505138,0.8989847455447789
f10,nsga3,0,1,0.9473684210526316,0.14285714285714285,0.0,1.0,0.8571428571428571,0.9,0.9285714285714286,0.9258200997725514,0.9375,0.9486832980505138,0.8989847455447789
f10,rs,0,1,0.72,1.0,0.0,1.0,0.0,0.5625,0.5,0.0,0.5625,0.0,0.29289321881345254
f10,spea2,0,1,0.9473684210526316,0.14285714285714285,0.0,1.0,0.8571428571428571,0.9,0.9285714285714286,0.9258200997725514,0.9375,0.9486832980505138,0.8989847455447789
f1,ga,1,1,0.7368421052631579,0.45454545454545453,0.0,1.0,0.5454545454545454,0.5833333333333334,0.7727272727272727,0.7385489458759964,0.7222222222222222,0.7637626158259734,0.6785878267333876
f1,ibea,1,1,0.9333333333333333,0.09090909090909091,0.0,1.0,0.9090909090909091,0.875,0.9545454545454546,0.9534625892455924,0.9444444444444444,0.9354143466934853,0.9357175653466775
f1,nsga2,1,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f1,nsga3,1,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f1,rs,1,1,0.7368421052631579,0.45454545454545453,0.0,1.0,0.5454545454545454,0.5833333333333334,0.7727272727272727,0.7385489458759964,0.7222222222222222,0.7637626158259734,0.6785878267333876
f1,spea2,1,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f2,ga,2,1,0.6666666666666666,1.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.29289321881345254
f2,ibea,2,1,0.8750000000000001,0.0,0.2222222222222222,0.7777777777777778,1.0,1.0,0.8888888888888888,0.8819171036881969,0.8888888888888888,0.9045340337332909,0.8428651597363228
f2,nsga2,2,1,0.8750000000000001,0.0,0.2222222222222222,0.7777777777777778,1.0,1.0,0.8888888888888888,0.8819171036881969,0.8888888888888888,0.9045340337332909,0.8428651597363228
f2,nsga3,2,1,0.8750000000000001,0.0,0.2222222222222222,0.7777777777777778,1.0,1.0,0.8888888888888888,0.8819171036881969,0.8888888888888888,0.9045340337332909,0.8428651597363228
f2,rs,2,1,0.4,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.5,0.4714045207910317,0.5,0.5,0.4729537233052702
f2,spea2,2,1,0.8750000000000001,0.0,0.2222222222222222,0.7777777777777778,1.0,1.0,0.8888888888888888,0.8819171036881969,0.8888888888888888,0.9045340337332909,0.8428651597363228
f3,ga,3,1,0.3636363636363636,1.0,0.0,1.0,0.0,0.2222222222222222,0.5,0.0,0.2222222222222222,0.0,0.29289321881345254
f3,ibea,3,1,0.8,0.14285714285714285,0.0,1.0,0.8571428571428571,0.6666666666666666,0.9285714285714286,0.9258200997725514,0.8888888888888888,0.816496580927726,0.8989847455447789
f3,nsga2,3,1,0.888888888888889,0.07142857142857142,0.0,1.0,0.9285714285714286,0.8,0.9642857142857143,0.9636241116594315,0.9444444444444444,0.8944271909999159,0.9494923727723895
